max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
0 : mul(add(k, -24), add(19, 41))
0 : add(mul(41, -27), add(10, -27))
0 : mul(add(9, k), add(5, -27))
0 : add(add(21, -27), add(-15, 4))
0 : add(add(49, 19), add(-9, 21))
0 : mul(mul(33, -9), add(-27, 10))
0 : mul(mul(1, 45), mul(25, 5))
0 : mul(add(13, 21), mul(21, 21))
0 : add(add(1, -27), mul(5, -27))
0 : mul(mul(-27, k), add(33, 9))
0 : add(mul(41, 1), mul(49, 41))
0 : add(add(41, 7), add(13, -27))
0 : mul(mul(2, 25), add(5, 5))
0 : mul(add(25, 10), mul(19, 49))
20 : add(add(k, 5), add(7, 45))
0 : add(add(7, 21), add(21, 5))
0 : add(mul(19, -3), add(-9, 45))
0 : add(add(-4, -27), add(9, -11))
0 : add(add(7, 21), add(3, 7))
0 : mul(mul(-27, -2), add(-11, 7))
0 : mul(mul(21, 25), add(5, 41))
0 : mul(add(2, k), mul(-9, 29))
0 : mul(mul(31, 41), add(17, -27))
0 : mul(add(43, -9), add(21, -9))
0 : mul(add(-9, 13), mul(21, 45))
0 : add(mul(10, -15), mul(-27, -27))
0 : mul(add(21, 41), add(45, 41))
0 : mul(mul(13, 43), add(41, 19))
0 : mul(add(-9, 21), add(2, 45))
0 : mul(add(41, 29), add(31, 11))
0 : add(add(29, 25), mul(-9, 29))
0 : mul(add(2, 49), add(7, 26))
0 : mul(add(33, -27), add(19, 13))
1 : add(add(-15, 25), add(-2, 21))
0 : mul(add(mul(-15, 13), 2), mul(-11, 10))
0 : mul(mul(2, 13), mul(-11, 17))
0 : add(mul(-3, 21), add(21, 13))
0 : mul(add(6, 13), mul(3, 1))
0 : mul(mul(7, -24), add(1, 21))
1 : add(add(-5, 2), add(23, 21))
0 : mul(mul(2, 21), add(-6, 45))
0 : add(mul(13, -4), mul(k, -3))
0 : mul(add(3, 10), mul(21, 5))
23 : add(add(5, 7), add(k, -24))
0 : mul(mul(41, 13), add(-2, k))
0 : mul(mul(k, k), add(-3, 9))
0 : mul(mul(21, 41), mul(-2, -9))
0 : mul(mul(7, 7), add(3, 7))
0 : mul(mul(41, 10), add(-27, 21))
0 : mul(mul(45, 41), add(-3, -11))
1 : add(add(-27, 13), mul(9, 17))
39 : add(mul(9, 5), mul(2, k))
1 : add(mul(21, 17), add(13, -11))
0 : add(mul(13, 21), add(1, -9))
0 : add(add(-9, -3), mul(31, 21))
0 : mul(mul(41, -9), mul(49, 33))
0 : mul(add(-9, 10), add(-27, -24))
0 : add(add(33, 21), add(6, -27))
0 : mul(mul(31, 2), add(-9, 21))
0 : add(add(21, 21), mul(25, 27))
