max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 500, 100, 2, 6, (1, 10), 0.3, 

Maximum Fitness: 86
Fitness score : Individual 
19 : add(add(37, 9), add(k, 33))
24 : add(add(-18, 21), add(k, 5))
21 : add(add(9, k), add(21, 7))
21 : add(add(11, 29), add(3, k))
23 : add(add(k, 3), add(-3, -15))
29 : add(mul(k, k), add(21, 7))
13 : add(mul(k, k), add(9, k))
40 : add(add(k, 2), add(k, 41))
18 : add(mul(k, k), add(7, 5))
24 : add(add(k, -18), add(5, 27))
25 : add(add(5, 2), add(k, 3))
24 : add(add(21, -18), add(k, 9))
21 : add(add(-2, 15), add(k, 25))
20 : add(add(41, k), add(41, -15))
14 : add(add(mul(41, -15), -2), mul(add(k, 9), 23))
31 : add(add(k, k), mul(41, 7))
22 : add(add(9, k), add(-15, 27))
18 : add(mul(-37, -15), add(11, k))
22 : add(add(9, k), add(4, 7))
13 : add(mul(k, k), add(k, 9))
19 : add(add(9, 37), add(k, 27))
24 : add(add(-7, k), add(11, -10))
40 : add(add(k, k), add(4, 37))
40 : add(add(k, k), mul(7, 5))
24 : add(add(k, -3), add(9, -15))
13 : add(add(k, 9), mul(k, k))
21 : add(add(add(21, k), 9), mul(2, 3))
15 : add(mul(k, k), add(21, 13))
22 : add(add(k, -15), add(11, 25))
24 : add(add(5, -37), mul(k, 5))
22 : add(add(-1, -3), add(k, -15))
9 : add(mul(k, k), add(9, -37))
24 : add(add(k, -18), add(5, 27))
25 : add(add(k, -15), add(11, 7))
22 : add(mul(k, k), add(k, -37))
13 : add(add(add(21, 5), -37), mul(23, k))
20 : add(add(k, 21), add(21, 5))
24 : add(add(-15, k), add(9, 2))
26 : add(add(6, 11), add(-15, k))
32 : add(mul(k, k), add(k, 7))
16 : add(add(3, k), mul(19, 21))
24 : add(add(-15, k), add(4, 5))
19 : add(mul(3, 9), add(k, 21))
13 : add(add(9, k), mul(k, k))
14 : add(mul(k, k), add(21, k))
24 : add(add(-3, 9), add(k, -15))
48 : add(mul(41, k), add(k, 41))
19 : add(add(1, k), add(41, 7))
27 : add(add(-3, 2), mul(k, 9))
21 : add(add(9, k), add(21, 7))
22 : add(add(9, k), add(4, 7))
4 : add(add(5, k), mul(mul(21, 21), k))
48 : add(add(11, k), mul(k, k))
22 : add(add(-3, 2), add(k, -18))
14 : add(mul(k, k), add(21, k))
0 : add(mul(11, k), add(k, 9))
25 : add(add(-37, 17), mul(k, k))
21 : add(add(add(k, 9), 23), add(9, -3))
35 : add(mul(-3, 15), add(k, k))
17 : add(add(3, -15), mul(19, k))
29 : add(mul(37, k), add(k, 7))
21 : add(add(21, k), add(5, 7))
19 : add(add(15, -18), mul(k, k))
19 : add(mul(9, 13), add(k, 27))
25 : add(add(5, -4), add(k, -3))
8 : add(add(mul(k, 37), -3), mul(k, k))
41 : add(add(k, 5), add(k, -18))
10 : add(mul(k, k), mul(15, 41))
18 : add(mul(-2, 15), add(k, -4))
15 : add(mul(-15, -18), add(9, k))
23 : add(add(k, -3), add(37, -15))
21 : add(add(9, k), add(21, 5))
1 : add(mul(11, k), add(9, 2))
23 : add(add(-3, k), mul(3, -3))
48 : add(mul(11, k), add(k, 23))
1 : add(add(k, k), add(k, -18))
40 : add(add(k, k), add(4, 37))
15 : add(mul(k, k), mul(15, -3))
22 : add(add(-15, k), add(9, 27))
20 : add(add(-37, 7), mul(k, 7))
25 : add(mul(-2, 15), add(41, k))
21 : add(add(41, 0), add(-15, k))
41 : add(add(k, 2), add(k, -15))
24 : add(add(-15, k), add(9, 2))
23 : add(add(5, 2), add(k, -18))
22 : add(add(-10, k), mul(3, -3))
24 : add(add(-15, k), add(4, 5))
8 : add(add(-4, 9), mul(k, k))
24 : add(add(11, 2), add(k, 3))
41 : add(add(-15, k), add(2, k))
1 : add(add(3, 0), mul(9, k))
23 : add(add(-3, k), mul(3, -3))
15 : add(add(-15, k), mul(k, k))
20 : add(add(-37, -3), mul(k, 7))
24 : add(add(k, -3), add(9, -15))
25 : add(mul(9, k), add(4, 7))
1 : add(mul(7, k), add(4, -18))
32 : add(mul(k, k), add(7, k))
9 : add(mul(k, k), add(9, -37))
86 : add(add(41, k), mul(k, k))
24 : add(add(k, 9), add(-2, 5))
17 : add(add(k, 41), mul(-18, -15))
46 : add(mul(k, 9), add(k, 7))
23 : add(add(1, k), mul(9, 2))
9 : add(mul(k, k), add(9, -37))
15 : add(add(-15, k), mul(k, k))
21 : add(add(-15, k), mul(37, 2))
15 : add(add(k, -4), mul(15, -3))
22 : add(add(41, -4), add(-15, k))
6 : add(mul(k, k), add(15, 41))
22 : add(add(5, 9), add(k, 15))
9 : add(mul(k, k), add(9, -37))
22 : add(mul(k, k), add(2, -10))
24 : add(mul(9, k), add(4, 21))
13 : add(mul(k, k), add(9, k))
