max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.1, 

Maximum Fitness: 86
Fitness score : Individual 
18 : add(add(-12, k), mul(39, 5))
41 : add(add(19, 39), mul(k, k))
1 : add(add(13, 0), mul(k, 39))
21 : add(mul(3, 13), add(-1, k))
11 : add(mul(add(k, add(mul(k, 11), add(-19, 13))), k), add(13, add(17, 41)))
7 : add(mul(add(-19, add(mul(k, 11), add(-19, -19))), k), add(21, add(17, 41)))
36 : add(add(21, 0), mul(k, 4))
1 : add(add(add(27, mul(mul(k, 4), add(-19, 17))), k), add(-1, add(17, 41)))
25 : add(mul(0, 13), add(5, k))
20 : add(add(27, k), add(0, 39))
15 : add(add(31, 21), mul(k, -1))
16 : add(mul(21, 13), add(19, k))
22 : add(mul(11, -1), add(31, k))
20 : add(mul(13, 4), add(19, k))
20 : add(add(27, 19), add(k, 21))
7 : add(mul(add(-19, add(mul(k, 11), add(13, 7))), k), add(21, add(17, 41)))
19 : add(add(19, k), add(-12, 41))
16 : add(mul(5, 41), add(1, k))
38 : add(add(add(13, add(add(-1, k), add(-19, 17))), k), add(0, add(4, 41)))
22 : add(add(11, k), add(5, 13))
15 : add(mul(k, k), add(21, 13))
43 : add(add(k, -8), add(k, 5))
20 : add(add(k, 5), add(41, 21))
25 : add(add(5, 13), add(-19, k))
21 : add(add(39, -12), add(k, -1))
17 : add(mul(11, k), mul(21, 5))
12 : add(add(39, -1), mul(k, -1))
6 : add(mul(add(-19, add(mul(k, -1), add(13, k))), k), add(21, add(-19, 41)))
20 : add(add(13, 13), add(k, 39))
24 : add(add(13, 19), add(k, -19))
21 : add(add(19, k), add(-1, 9))
23 : add(add(11, 6), mul(k, 39))
4 : add(mul(add(17, add(mul(39, k), mul(-19, 17))), k), add(21, add(39, -19)))
27 : add(mul(add(-8, add(add(k, 11), add(7, 17))), k), add(31, add(9, 41)))
13 : add(mul(21, 39), add(k, 13))
21 : add(add(-19, k), add(39, 7))
