max_iter, f_threshold, p_size, k_max, min_depth, max_depth, a_range, p_mutate, 
100, 0.8, 1000, 100, 2, 6, (1, 10), 0.5, 

Maximum Fitness: 86
Fitness score : Individual 
16 : add(mul(k, 67), add(27, 5))
26 : add(add(3, 41), mul(k, 21))
0 : mul(mul(7, 3), add(k, k))
0 : mul(add(-3, 19), add(67, -9))
1 : add(mul(41, k), add(3, k))
2 : add(mul(k, 5), mul(-21, 23))
17 : add(add(k, -23), mul(27, 21))
17 : add(mul(12, 23), add(k, 35))
18 : add(mul(5, 35), add(19, k))
1 : add(mul(k, -6), add(37, 19))
21 : add(add(13, 7), add(7, k))
11 : add(mul(21, 13), mul(k, -8))
12 : add(mul(k, k), add(7, 41))
19 : add(add(67, 7), add(13, k))
17 : add(add(3, -23), mul(k, 17))
18 : add(mul(18, 7), add(k, 13))
18 : add(mul(29, 23), mul(k, 5))
17 : add(add(k, 53), mul(18, 53))
20 : add(add(67, 3), add(k, -3))
18 : add(mul(k, 11), add(7, 19))
24 : add(mul(17, 19), mul(k, 21))
13 : add(add(41, -21), mul(53, k))
20 : add(add(4, 67), add(k, 25))
21 : add(add(11, 17), add(k, -3))
1 : add(add(k, k), add(-23, -23))
15 : add(mul(k, 13), mul(23, -8))
13 : add(mul(19, -21), mul(k, 23))
19 : add(add(k, 18), add(-9, 53))
19 : add(mul(7, 6), add(21, k))
20 : add(add(27, 17), add(k, 21))
21 : add(add(21, 1), add(17, k))
19 : add(mul(67, 1), add(21, k))
17 : add(add(k, 21), mul(27, 21))
17 : add(add(k, -9), mul(19, 13))
18 : add(mul(13, 13), add(7, k))
18 : add(mul(45, 13), add(7, k))
25 : add(add(0, k), mul(0, 19))
17 : add(mul(19, 13), add(k, 13))
21 : add(add(k, -21), add(18, 37))
19 : add(mul(11, k), add(21, 7))
20 : add(add(13, 13), add(k, 25))
21 : add(add(13, 7), add(k, 23))
15 : add(add(k, 23), mul(41, 15))
20 : add(add(k, 7), mul(19, 5))
17 : add(add(21, -9), mul(53, k))
27 : add(mul(21, k), mul(19, 4))
1 : add(mul(-21, 0), mul(k, 53))
16 : add(add(7, k), mul(23, 67))
1 : add(mul(0, k), add(0, 53))
21 : add(add(23, k), add(23, 13))
20 : add(add(k, 18), add(35, 3))
35 : add(add(k, 67), mul(k, 27))
1 : add(add(19, -1), mul(23, 13))
14 : add(add(11, 11), mul(41, k))
1 : add(mul(21, 21), add(11, 5))
1 : add(add(6, 21), add(7, 7))
20 : add(add(27, k), add(5, 35))
20 : add(mul(k, 5), add(41, 35))
0 : mul(mul(21, 11), mul(6, 27))
